Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
1995-96,1995-08-19T00:00:00Z,Aston Villa,Man United,3,1,H,3,0,H
1995-96,1995-08-19T00:00:00Z,Blackburn,QPR,1,0,H,1,0,H
1995-96,1995-08-19T00:00:00Z,Chelsea,Everton,0,0,D,0,0,D
1995-96,1995-08-19T00:00:00Z,Liverpool,Sheffield Weds,1,0,H,0,0,D
1995-96,1995-08-19T00:00:00Z,Man City,Tottenham,1,1,D,0,1,A
1995-96,1995-08-19T00:00:00Z,Newcastle,Coventry,3,0,H,1,0,H
1995-96,1995-08-19T00:00:00Z,Southampton,Nott'm Forest,3,4,A,1,3,A
1995-96,1995-08-19T00:00:00Z,West Ham,Leeds,1,2,A,1,0,H
1995-96,1995-08-19T00:00:00Z,Wimbledon,Bolton,3,2,H,2,2,D
1995-96,1995-08-20T00:00:00Z,Arsenal,Middlesbrough,1,1,D,1,1,D
1995-96,1995-08-21T00:00:00Z,Leeds,Liverpool,1,0,H,0,0,D
1995-96,1995-08-22T00:00:00Z,Bolton,Newcastle,1,3,A,0,1,A
1995-96,1995-08-23T00:00:00Z,Coventry,Man City,2,1,H,1,0,H
1995-96,1995-08-23T00:00:00Z,Everton,Arsenal,0,2,A,0,0,D
1995-96,1995-08-23T00:00:00Z,Man United,West Ham,2,1,H,0,0,D
1995-96,1995-08-23T00:00:00Z,Nott'm Forest,Chelsea,0,0,D,0,0,D
1995-96,1995-08-23T00:00:00Z,QPR,Wimbledon,0,3,A,0,1,A
1995-96,1995-08-23T00:00:00Z,Sheffield Weds,Blackburn,2,1,H,1,0,H
1995-96,1995-08-23T00:00:00Z,Tottenham,Aston Villa,0,1,A,0,0,D
1995-96,1995-08-26T00:00:00Z,Bolton,Blackburn,2,1,H,1,0,H
1995-96,1995-08-26T00:00:00Z,Coventry,Arsenal,0,0,D,0,0,D
1995-96,1995-08-26T00:00:00Z,Everton,Southampton,2,0,H,2,0,H
1995-96,1995-08-26T00:00:00Z,Leeds,Aston Villa,2,0,H,1,0,H
1995-96,1995-08-26T00:00:00Z,Man United,Wimbledon,3,1,H,1,0,H
1995-96,1995-08-26T00:00:00Z,Middlesbrough,Chelsea,2,0,H,1,0,H
1995-96,1995-08-26T00:00:00Z,Nott'm Forest,West Ham,1,1,D,1,1,D
1995-96,1995-08-26T00:00:00Z,QPR,Man City,1,0,H,1,0,H
1995-96,1995-08-26T00:00:00Z,Tottenham,Liverpool,1,3,A,0,2,A
1995-96,1995-08-27T00:00:00Z,Sheffield Weds,Newcastle,0,2,A,0,0,D
1995-96,1995-08-28T00:00:00Z,Blackburn,Man United,1,2,A,0,0,D
1995-96,1995-08-29T00:00:00Z,Arsenal,Nott'm Forest,1,1,D,1,0,H
1995-96,1995-08-30T00:00:00Z,Aston Villa,Bolton,1,0,H,0,0,D
1995-96,1995-08-30T00:00:00Z,Chelsea,Coventry,2,2,D,2,1,H
1995-96,1995-08-30T00:00:00Z,Liverpool,QPR,1,0,H,1,0,H
1995-96,1995-08-30T00:00:00Z,Man City,Everton,0,2,A,0,0,D
